time   DownRange   Height   HorizontalSpeed   VerticalSpeed   x   z   
1   0.218447   0.0331492   0.0883896   -0.0981   0.217563   1.33219e-017
2   0.219331   0.0311872   0.0883873   -0.196197   0.218447   1.3376e-017
3   0.220215   0.0282443   0.0883834   -0.294289   0.219331   1.34301e-017
4   0.221098   0.0243206   0.088378   -0.392371   0.220215   1.34843e-017
5   0.221982   0.0194163   0.0883708   -0.490439   0.221098   1.35384e-017
6   0.222866   0.0135314   0.0883619   -0.588489   0.221982   1.35925e-017
7   0.223749   0.00666618   0.0883512   -0.686518   0.222866   1.36466e-017
8   0.224633   -0.00117904   0.0883389   -0.784522   0.223749   1.37007e-017
1   0.213932   0.0337852   0.133691   -0.00971164   0.175694   0.119701
2   0.215269   0.0327071   0.133687   -0.107811   0.176799   0.120453
3   0.216605   0.030648   0.133682   -0.205908   0.177903   0.121206
4   0.217942   0.027608   0.133676   -0.303997   0.179008   0.121959
5   0.219279   0.0235873   0.133667   -0.402077   0.180113   0.122711
6   0.220615   0.0185858   0.133655   -0.500143   0.181218   0.123464
7   0.221952   0.0126039   0.133641   -0.59819   0.182322   0.124217
8   0.223288   0.00564177   0.133625   -0.696216   0.183427   0.124969
9   0.224624   -0.0023004   0.133606   -0.794216   0.184531   0.125721
1   0.287785   0.0617352   0.727363   0.756155   0.136323   0.245158
2   0.295057   0.0683142   0.727209   0.657894   0.139858   0.251515
3   0.302327   0.0739108   0.727065   0.559664   0.143392   0.25787
4   0.309597   0.0785254   0.72693   0.46146   0.146925   0.264225
5   0.316865   0.0821582   0.726803   0.36328   0.150458   0.270578
6   0.324132   0.0848094   0.726684   0.26512   0.15399   0.27693
7   0.331397   0.0864792   0.72657   0.166979   0.157522   0.283281
8   0.338662   0.0871677   0.726461   0.0688535   0.161053   0.289631
9   0.345925   0.0868752   0.726354   -0.0292567   0.164583   0.29598
10   0.353188   0.0856016   0.726247   -0.127352   0.168113   0.302328
11   0.360449   0.0833473   0.726139   -0.225433   0.171643   0.308675
12   0.367709   0.0801123   0.726027   -0.323499   0.175172   0.315022
13   0.374969   0.0758969   0.72591   -0.421547   0.1787   0.321367
14   0.382226   0.0707011   0.725787   -0.519575   0.182228   0.327711
15   0.389483   0.0645253   0.725656   -0.617581   0.185755   0.334054
16   0.396738   0.0573697   0.725517   -0.715563   0.189281   0.340396
17   0.403992   0.0492345   0.725367   -0.813515   0.192807   0.346737
18   0.411244   0.0401201   0.725207   -0.911436   0.196332   0.353076
19   0.418494   0.0300269   0.725037   -1.00932   0.199857   0.359415
20   0.425743   0.0189553   0.724854   -1.10717   0.20338   0.365751
21   0.432989   0.00690554   0.724661   -1.20497   0.206903   0.372086
22   0.440234   -0.00612175   0.724455   -1.30273   0.210425   0.378419
1   0.293013   0.0605763   0.594499   0.531577   0.133357   0.254212
2   0.298957   0.0649102   0.594403   0.433392   0.136119   0.259476
3   0.3049   0.0682625   0.594315   0.335227   0.13888   0.26474
4   0.310842   0.0706333   0.594233   0.237081   0.141641   0.270003
5   0.316784   0.0720228   0.594156   0.13895   0.144402   0.275265
6   0.322724   0.0724311   0.594083   0.0408331   0.147162   0.280527
7   0.328665   0.0718584   0.594011   -0.0572719   0.149921   0.285788
8   0.334604   0.0703047   0.59394   -0.155365   0.152681   0.291048
9   0.340543   0.0677703   0.593866   -0.253446   0.15544   0.296308
10   0.346481   0.0642552   0.593788   -0.351513   0.158199   0.301567
11   0.352418   0.0597595   0.593706   -0.449564   0.160957   0.306825
12   0.358354   0.0542836   0.593616   -0.547596   0.163715   0.312082
13   0.364289   0.0478275   0.593519   -0.645607   0.166473   0.317339
14   0.370223   0.0403916   0.593414   -0.743592   0.16923   0.322595
15   0.376156   0.0319761   0.5933   -0.841549   0.171987   0.32785
16   0.382088   0.0225813   0.593177   -0.939474   0.174743   0.333104
17   0.388018   0.0122077   0.593043   -1.03736   0.177499   0.338357
18   0.393947   0.000855596   0.5929   -1.13521   0.180254   0.343608
19   0.399875   -0.0114746   0.592747   -1.23302   0.183008   0.348859
1   0.337125   0.071658   0.736328   0.529355   0.126649   0.304471
2   0.344487   0.0759696   0.736193   0.431158   0.129477   0.311269
3   0.351847   0.0792994   0.736066   0.332984   0.132305   0.318067
4   0.359207   0.0816477   0.735945   0.234829   0.135132   0.324863
5   0.366565   0.0830146   0.73583   0.136693   0.137958   0.331658
6   0.373922   0.0834004   0.735719   0.0385718   0.140784   0.338452
7   0.381278   0.082805   0.73561   -0.0595339   0.14361   0.345245
8   0.388633   0.0812288   0.7355   -0.157625   0.146435   0.352037
9   0.395987   0.0786718   0.735388   -0.255701   0.14926   0.358828
10   0.40334   0.0751342   0.735272   -0.353761   0.152084   0.365618
11   0.410691   0.0706161   0.735151   -0.451802   0.154908   0.372406
12   0.418042   0.0651179   0.735023   -0.549824   0.157732   0.379194
13   0.42539   0.0586397   0.734886   -0.647822   0.160555   0.385981
14   0.432738   0.0511817   0.734741   -0.745793   0.163377   0.392766
15   0.440084   0.0427444   0.734585   -0.843736   0.166199   0.39955
16   0.447428   0.0333279   0.734419   -0.941645   0.16902   0.406332
17   0.45477   0.0229328   0.734242   -1.03952   0.171841   0.413113
18   0.462111   0.0115593   0.734053   -1.13735   0.174661   0.419892
19   0.469449   -0.00079213   0.733852   -1.23514   0.17748   0.42667
1   0.328108   0.0693712   0.58803   0.432162   0.14125   0.289618
2   0.333987   0.0727112   0.587943   0.333999   0.143828   0.294903
3   0.339866   0.0750698   0.587863   0.235853   0.146405   0.300188
4   0.345743   0.076447   0.587787   0.137723   0.148982   0.305472
5   0.351621   0.076843   0.587716   0.039606   0.151559   0.310755
6   0.357497   0.0762581   0.587646   -0.0584987   0.154135   0.316037
7   0.363373   0.0746921   0.587576   -0.156592   0.156711   0.321319
8   0.369248   0.0721454   0.587503   -0.254672   0.159287   0.3266
9   0.375122   0.068618   0.587427   -0.352739   0.161862   0.33188
10   0.380996   0.0641101   0.587346   -0.450791   0.164437   0.33716
